score,maxTile,gridString,scoreMapMultiplier,addRecursiveScores,evalWithWorst,emptyCellInPathPenalty,lookAheadInEval,forcedMovePenalty,moves,time,avgDepth
75040,4096,([2][4][8][2])([8][32][64][16])([32][2048][32][128])([4096][2][1024][2]),2.5,true,true,0,false,4,3433,100,16.094378094960675
36600,2048,([4][2][4][2])([8][16][32][8])([256][128][64][32])([1024][2048][512][64]),2.1,true,true,0,false,4,1918,100,17.174139728884253
36532,2048,([4][2][8][2])([2][16][32][16])([8][64][128][64])([2048][1024][512][256]),2,true,true,0,false,4,1913,100,13.619445896497648
71896,4096,([2][4][8][4])([8][16][64][16])([16][64][128][64])([4096][2048][512][256]),2,true,false,0,false,4,3293,100,10.92438505921652
27112,2048,([2][4][2][4])([4][8][16][8])([8][16][64][16])([2048][512][256][128]),2,true,false,0,false,4,300,1411,300,19.697377746279233
64556,4096,([4][8][4][2])([8][64][16][8])([256][1024][128][64])([512][4096][2][512]),2.5,true,true,0,false,4,3051,100,12.373975745657162
80372,4096,([4][2][4][8])([2][16][256][16])([64][128][512][8])([4096][2048][1024][2]),2.1,true,true,0,false,4,3722,100,13.000537345513164
35732,2048,([2][4][8][2])([16][32][16][4])([64][256][32][16])([1024][2048][512][32]),2,true,true,0,false,4,1853,100,12.12142471667566
17328,1024,([4][8][4][2])([16][32][16][8])([64][1024][32][2])([256][512][256][32]),2,true,false,0,false,4,1032,100,26.251937984496124
13220,1024,([4][2][8][4])([32][64][32][8])([128][256][64][32])([1024][2][128][2]),2,true,false,0,false,4,300,798,300,62.21303258145363
23520,2048,([2][8][4][2])([4][32][16][4])([64][256][128][32])([2048][8][2][64]),2,true,false,0,false,4,300,1210,300,45.001652892561985
35512,2048,([2][4][8][4])([8][32][16][8])([16][64][128][64])([2048][1024][512][128]),2.1,true,false,0,false,4,300,1849,300,24.028123309897243
51140,4096,([2][4][2][4])([4][8][32][16])([8][32][64][32])([4096][512][256][64]),2,true,false,0,false,4,300,2338,300,23.981180496150557
67508,4096,([4][2][4][8])([8][32][8][64])([16][2048][16][128])([4096][2][256][2]),2.5,true,true,0,false,4,3050,100,13.287213114754099
58092,4096,([4][8][4][2])([16][32][16][8])([32][512][64][16])([4096][1024][2][32]),2.1,true,true,0,false,4,2643,100,16.15550510783201
11932,1024,([2][4][2][4])([4][8][16][8])([8][16][32][16])([1024][256][128][32]),2,true,true,0,false,4,704,100,24.803977272727273
74600,4096,([2][8][4][2])([4][16][8][4])([128][2048][32][8])([4096][2][1024][32]),2,true,false,0,false,4,3388,100,14.45543093270366
17352,1024,([4][2][4][2])([32][16][8][4])([64][256][32][16])([512][1024][256][32]),2,true,false,0,false,4,300,1039,300,33.07218479307026
